Date,Open,High,Low,Close,Volume,log_returns,Search_Volume,check_ratio,Normalized_Searches,log_searches,temp_date,Normalized_Searches_delayed,norm_search_MA_upper_band,norm_search_MA_lower_band,strategy,coin,qty,balance,coins_value,portfolio_value
2022-10-23,1313.18,1371.0,1298.22,1363.44,3682722.299,0.03755162630483064,49888.904347826094,4157.408695652174,7.481729234443299,0.06559854223660297,2022-10-23,7.006689980170802,9.100837544174638,7.272208450171515,0,Ethereum,9.25180641520257,46133.09270182583,56046.22773963678,102179.32044146261
2022-10-23,19195.1,19690.0,19050.0,19560.7,358611.542,0.018867413158169706,230433.81081081083,12801.87837837838,3.9050347420638514,0.057826381438197766,2022-10-23,4.266206725221714,7.107777901531896,4.1818461039914405,0,Bitcoin,0.13866932911778573,46183.79020855129,56096.92524636224,102280.71545491353
2022-10-23,0.05966,0.06048,0.05857,0.06035,1463779444.0,0.011499168456938144,10673.09090909091,1067.309090909091,0.5209553158705702,0.2576740841798811,2022-10-23,0.35382937009865933,0.4499102170119962,0.31844342940483017,0,Dogecoin,462470.5175045091,46502.8948656294,56416.02990344035,102918.92476906975
2022-10-23,6.866,7.086,6.801,7.064,20052022.8,0.028429768266158572,1903.7738095238094,44.27380952380952,5.110525511416961,-0.11984233644649614,2022-10-23,5.7611930222653465,7.055945385398124,4.391678723918013,0,Chainlink,0.0,46502.8948656294,56416.02990344035,102918.92476906975
2022-10-23,5.842,5.974,5.743,5.959,21966807.1,0.020000666706669435,3685.1540616246502,70.86834733893558,9.675328215954433,-0.0682280492900282,2022-10-23,8.154271676700343,8.652007609518122,6.972577104743369,0,Polkadot,234.49957790075982,46530.56581582169,56443.70085363264,102974.26666945433
2022-10-23,0.351,0.3635,0.3456,0.3617,642619632.0,0.0297440557836657,9430.03112840467,304.1945525291829,4.363119180140462,0.0036678966491590285,2022-10-23,4.000926917975959,5.522094236597244,3.390415322121786,0,Cardano,23738.308882875186,46782.19188998017,56695.32692779112,103477.51881777128
2022-10-23,52.14,54.0,51.8,53.99,1868176.076,0.03486643572484,3111.366666666667,100.36666666666667,1.6436933574813395,-0.15757004529233282,2022-10-23,1.9242105934632021,2.09302136017201,1.004774075735141,0,Litecoin,29.006526468455405,46835.85396394681,56748.989001757756,103584.84296570456
2022-10-24,1363.43,1370.4,1322.25,1342.72,5502275.006,-0.015313510589158159,49888.904347826094,4157.408695652174,7.725976180416362,0.03212423485372239,2022-10-24,7.481729234443299,9.105885675859456,7.2411548047109395,0,Ethereum,9.25180641520257,46644.15653502381,56557.29157283476,103201.44810785857
2022-10-24,19560.6,19593.3,19146.0,19318.1,476676.536,-0.012479971024369409,256037.56756756757,12801.878378378378,5.093546432837985,0.2657076530356236,2022-10-24,4.846787783873873,6.910825233318414,4.095338006266221,0,Bitcoin,0.13866932911778573,46610.51535577983,56523.65039359078,103134.16574937062
2022-10-24,7.064,7.084,6.784,6.902,21690814.73,-0.023200238625847212,2125.142857142857,44.27380952380952,6.030297265900366,0.16549406861599877,2022-10-24,5.110525511416961,7.030174728732959,4.326918349730166,0,Chainlink,0.0,46610.51535577983,56523.65039359078,103134.16574937062
2022-10-24,5.958,5.987,5.799,5.91,28418122.3,-0.008256850346834918,3118.2072829131653,70.86834733893558,7.881405752451147,-0.20507287952968706,2022-10-24,10.799342843704846,9.4332496653393,6.665637669478581,0,Polkadot,234.49957790075982,46599.024876462696,56512.159914273645,103111.18479073634
2022-10-24,54.0,54.18,52.07,52.49,2258187.393,-0.028176168965987205,2609.5333333333333,100.36666666666666,0.6283345049016809,-0.9616283602281243,2022-10-24,1.6436933574813395,2.1009473032597725,1.010390366865631,0,Litecoin,29.006526468455405,46555.51508676001,56468.65012457096,103024.16521133097
2022-10-24,0.06036,0.0609,0.0586,0.0594,2469345520.0,-0.01586672117494123,10673.09090909091,1067.309090909091,0.48684514637904475,-0.06771817405495098,2022-10-24,0.4026187916350452,0.43701001506528353,0.32216752065475157,0,Dogecoin,462470.5175045091,46116.16809513073,56029.30313294168,102145.4712280724
2022-10-24,0.3618,0.3648,0.3529,0.3571,735796573.0,-0.012799284357649592,10342.614785992218,304.1945525291829,4.803521207429659,0.09616202398564008,2022-10-24,4.347145023606332,5.513163518749392,3.380078716687951,0,Cardano,23738.308882875186,46006.971874269504,55920.10691208045,101927.07878634996
2022-10-25,0.05941,0.06428,0.05909,0.06299,5912369320.0,0.05868175726523847,11740.400000000001,1067.309090909091,0.545762711864407,0.1142381896898439,2022-10-25,0.4514082131714311,0.4416543467135802,0.3204472326666484,0,Dogecoin,462470.5175045091,47667.241032110695,57580.376069921644,105247.61710203234
2022-10-25,19318.1,20415.0,19228.0,20068.3,777306.534,0.038098975420066836,281641.3243243243,12801.878378378378,6.118858153019778,0.18340116970972967,2022-10-25,6.4291505729143,6.930139163728131,4.092901945412874,0,Bitcoin,0.13866932911778573,47771.27076281486,57684.405800625806,105455.67656344066
2022-10-25,0.3571,0.4168,0.3565,0.3999,2528936690.0,0.1131986612523699,12776.171206225681,304.1945525291829,6.168476108106709,0.25010258945914693,2022-10-25,5.181900461344213,5.60339850703172,3.401463355323054,0,Cardano,23738.308882875186,48787.270383001916,58700.405420812865,107487.67580381478
2022-10-25,6.903,7.279,6.809,7.057,33960957.88,0.022208807342881467,2169.416666666667,44.27380952380953,6.254153976278555,0.03644957182846809,2022-10-25,6.030297265900366,7.061493313582785,4.345436363481035,0,Chainlink,0.0,48787.270383001916,58700.405420812865,107487.67580381478
2022-10-25,5.911,6.624,5.891,6.432,63142927.7,0.08463970045865847,3472.5490196078435,70.86834733893558,9.002607292140702,0.1330079515678693,2022-10-25,10.358497649204097,9.807546503964575,6.552887579725445,0,Polkadot,234.49957790075982,48909.679162666114,58822.81420047706,107732.49336314318
2022-10-25,52.5,56.79,52.25,55.91,3478634.144,0.06312057977434538,4014.6666666666665,100.36666666666666,3.471339292124724,1.7092230858473516,2022-10-25,0.6283345049016809,2.002908792606841,0.872890008027291,0,Litecoin,29.006526468455405,49008.881483188234,58922.01652099918,107930.89800418742
2022-10-25,1342.73,1533.68,1334.16,1459.2,11473585.177,0.08319093299224396,70675.94782608697,4157.408695652174,11.134813991605629,0.3654884145325276,2022-10-25,7.725976180416362,8.922088728833074,7.2180574957358985,0,Ethereum,9.25180641520257,50086.53189443103,59999.66693224198,110086.198826673
2022-10-26,7.058,7.291,7.024,7.153,30056180.76,0.013511817107553396,1948.047619047619,44.273809523809526,5.334382221795151,-0.15907279835812943,2022-10-26,6.254153976278555,7.017106288827846,4.347763011120953,0,Chainlink,0.0,50086.53189443103,59999.66693224198,110086.198826673
2022-10-26,6.432,6.607,6.406,6.461,37614523.9,0.0044985726993631335,4889.915966386555,70.86834733893558,13.487413450898918,0.40424267906921096,2022-10-26,9.675328215954433,9.991413920220522,6.550371910634689,0,Polkadot,234.49957790075982,50093.33238219015,60006.4674200011,110099.79980219125
2022-10-26,20068.3,21030.0,20041.1,20758.3,841864.982,0.03380471101495295,307245.0810810811,12801.87837837838,7.3073698437939125,0.17750790371391456,2022-10-26,5.2679884556099825,6.859614003392197,4.051696846568035,0,Bitcoin,0.13866932911778573,50189.014219281424,60102.14925709237,110291.1634763738
2022-10-26,0.3999,0.412,0.3944,0.4026,1661469452.0,0.006728997352918601,12776.171206225681,304.1945525291829,6.168476108106709,0.0,2022-10-26,4.489464250083465,5.619781053524379,3.449810763165626,0,Cardano,23738.308882875186,50253.107653265186,60166.242691076135,110419.35034434132
2022-10-26,55.91,57.62,55.64,56.34,3091377.08,0.007661507409672669,3914.3,100.36666666666667,3.2682675216087924,-0.06028044803775313,2022-10-26,3.471339292124724,2.533837111595462,0.6426036593983695,0,Litecoin,29.006526468455405,50265.58045964662,60178.71549745757,110444.29595710419
